Law_Firm,Wins,Losses,Win_Rate,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Law_Firm(from_text),Cases
advocates for animals,0,1,0.0,0,1,0,advocates for animals,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1560.html""]}"
aegis legal,1,0,100.0,0,1,0,aegis legal,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1037.html""]}"
aeris employment law,1,0,100.0,0,0,1,aeris employment law,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1659.html""]}"
affinity law,1,0,100.0,0,0,1,affinity law,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1726.html""]}"
ahmed rahman carr llp,0,2,0.0,0,2,0,"ahmed rahman carr llp, ahmed rahman carr solicitors","{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/551.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1893.html""]}"
ahz solicitors,1,0,100.0,0,1,0,ahz solicitors,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1504.html""]}"
ai law,0,2,0.0,1,2,0,ai law,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1363.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1390.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1493.html""]}"
aja solicitors,0,1,0.0,0,0,1,aja solicitors,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1575.html""]}"
akin gump llp,4,1,80.0,0,4,1,akin gump llp,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1581.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1125.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1168.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/24.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/475.html""]}"
akl solicitors,0,1,0.0,0,1,0,akl solicitors,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/184.html""]}"
al bawardi critchlow,0,1,0.0,0,1,0,al bawardi critchlow,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/56.html""]}"
alan taylor & co,0,1,0.0,0,1,0,alan taylor & co,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/567.html""]}"
alberto perez cedillo,0,1,0.0,0,1,0,alberto perez cedillo,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1589.html""]}"
aliant law,1,0,100.0,0,0,1,aliant law,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/973.html""]}"
alison castrey ltd,0,1,0.0,0,0,1,alison castrey ltd,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/26.html""]}"
alius law,0,1,0.0,0,1,0,alius law,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1409.html""]}"
allan rutherford solicitors,0,1,0.0,0,1,0,allan rutherford solicitors,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/954.html""]}"
allen overy shearman sterling llp,18,23,43.9,5,20,21,"a & o shearman, a&o shearman, a&o shearman llp, allen, allen & overy, allen & overy llp, allen llp, allen overy llp, allen overy shearman sterling llp, allen solicitors ltd, messrs allen, overy llp, société air france, shearman & sterling (london) llp for cargolux airlines international sa, squire paton boggs (uk) llp for cathay pacific airways limited, shepherd","{""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/209.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1037.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/521.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1550.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/540.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/562.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/695.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1017.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1024.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1058.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1257.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1318.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/226.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/480.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/556.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/119.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1248.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1296.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/130.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/191.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/21.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/42.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/449.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1486.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/428.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1431.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1899.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/220.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1361.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/38.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/768.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1163.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1875.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/501.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/718.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/790.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/102.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1478.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/701.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/745.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/876.html""]}"
allington hughes,2,0,100.0,0,1,1,"allington hughes, allington hughes law","{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/386.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/224.html""]}"
alpha rocks solicitors,1,1,50.0,0,2,0,alpha rocks solicitors,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1528.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/685.html""]}"
alsters kelley solicitors,1,0,100.0,0,1,0,alsters kelley solicitors,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/741.html""]}"
alston & bird (city) llp,0,1,0.0,0,0,1,alston & bird (city) llp,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1172.html""]}"
alterman solicitors,1,0,100.0,0,0,1,alterman solicitors,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/798.html""]}"
aman solicitors,1,2,33.33,0,2,1,"aman solicitors, aman solicitors advocates","{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1072.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/243.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/118.html""]}"
amjad malik solicitors,0,1,0.0,0,1,0,amjad malik solicitors,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/184.html""]}"
amv law,1,0,100.0,0,1,0,amv law,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2212.html""]}"
amz law,1,3,25.0,0,4,0,amz law,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/78.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/54.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/899.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1091.html""]}"
an nhs foundation,0,1,0.0,0,0,1,an nhs foundation,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1215.html""]}"
and for staffordshire police,1,0,100.0,0,0,1,and for staffordshire police,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/191.html""]}"
and head of special legal casework for south wales police,1,0,100.0,0,0,1,and head of special legal casework for south wales police,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/191.html""]}"
andrew storch solicitors,1,4,20.0,0,5,0,andrew storch solicitors,"{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1239.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/254.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/255.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/896.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/109.html""]}"
"angela mills, principal solicitor, oxfordshire county council",0,1,0.0,0,0,1,"angela mills, principal solicitor, oxfordshire county council","{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1308.html""]}"
"ann butterfield, rochdale metropolitan borough council",0,1,0.0,0,0,1,"ann butterfield, rochdale metropolitan borough council","{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1054.html""]}"
ann l humphrey solicitors,1,0,100.0,0,0,1,ann l humphrey solicitors,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1845.html""]}"
anthony collins llp,1,2,33.33,1,2,1,"anthony collins llp, anthony collins solicitors, anthony collins solicitors llp","{""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/655.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1249.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1621.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1641.html""]}"
anthony gold,5,5,50.0,2,7,3,"anthony gold, anthony gold solicitors, anthony gold solicitors llp","{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1213.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/2047.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1523.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1539.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/542.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/760.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/854.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1416.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/224.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/733.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/605.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1530.html""]}"
anthony jeremy,1,0,100.0,0,1,0,anthony jeremy,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/667.html""]}"
anti trafficking,2,0,100.0,0,2,0,"anti trafficking, anti-trafficking","{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/280.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/33.html""]}"
appleman legal,0,1,0.0,0,1,0,appleman legal,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1067.html""]}"
appleyard lees solicitors,1,0,100.0,0,1,0,appleyard lees solicitors,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/95.html""]}"
applicant,0,2,0.0,0,2,0,"appellant, applicant","{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1040.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/468.html""]}"
applicant in person,0,1,0.0,0,1,0,applicant in person,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2374.html""]}"
arani solicitors,0,2,0.0,0,2,0,arani solicitors,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/41.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/278.html""]}"
arc pensions law llp,0,1,0.0,0,0,1,arc pensions law llp,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/867.html""]}"
archer fields,3,1,75.0,0,2,2,"archer fields, archerfield partners llp","{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1093.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/353.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/557.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/823.html""]}"
ardens,1,0,100.0,0,0,1,ardens,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/702.html""]}"
ardent law,0,1,0.0,0,1,0,ardent law,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1846.html""]}"
arkrights solicitors,0,9,0.0,0,8,1,arkrights solicitors,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/53.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1247.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/942.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/379.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/529.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1334.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/23.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/489.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/497.html""]}"
arlington crown solicitors,1,0,100.0,0,0,1,arlington crown solicitors,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2695.html""]}"
armstrong solicitors limited,1,3,25.0,0,4,0,"armstrong solicitors limited, armstrongs solicitors limited, armstrongs solicitors ltd","{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/366.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/141.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/764.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/414.html""]}"
armstrong teasdale ltd,1,0,100.0,0,0,1,armstrong teasdale ltd,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/86.html""]}"
arnold & porter kaye scholer (uk) llp,1,6,14.29,0,2,5,"arnold & porter kaye scholer (uk) llp, arnold & porter kaye scholer llp, arnold &porter kaye scholar (uk) llp","{""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/588.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1471.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1518.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/742.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2135.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1249.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/449.html""]}"
arora lodhi heath,0,1,0.0,0,1,0,arora lodhi heath,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/5.html""]}"
artis legal,1,0,100.0,0,1,0,artis legal,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/841.html""]}"
"asb law llp, origin two, 106 high street, crawley, west sussex, rh10 1bf",1,0,100.0,0,0,1,"asb law llp, origin two, 106 high street, crawley, west sussex, rh10 1bf","{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/551.html""]}"
asghar & co,0,1,0.0,0,1,0,asghar & co,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/799.html""]}"
ash solicitors for appellant ms tina conlan (instructed by hb public law,1,0,100.0,0,0,1,ash solicitors for appellant ms tina conlan (instructed by hb public law,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1476.html""]}"
ashfield,1,1,50.0,0,0,2,"ashfield, ashfield & mansfield shared legal service","{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/873.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/4.html""]}"
