Law_Firm,Wins,Losses,Win_Rate,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Law_Firm(from_text),Cases
addleshaw goddard,20,23,46.51,2,19,24,"addleshaw goddard, addleshaw goddard llp, addleshaw goddard solicitors","{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/227.html"", ""role"": ""first interested party"", ""outcome"": ""granted"", ""result"": ""Neutral""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/388.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/650.html"", ""role"": ""first and second respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/70.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/875.html"", ""role"": ""claimants"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/496.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/557.html"", ""role"": ""respondents"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/773.html"", ""role"": ""part 20 defendants/appellants"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/799.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1001.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2069.html"", ""role"": ""appellant, ong siauw ping"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1660.html"", ""role"": ""2nd respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2084.html"", ""role"": ""appellant in nexus"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1543.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1924.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/250.html"", ""role"": ""applicant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/344.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/364.html"", ""role"": ""defendants"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/669.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2020"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1075.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/323.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/907.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/104.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/32.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/338.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/557.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/867.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/981.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2022"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1408.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/24.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/440.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/825.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/864.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1258.html"", ""role"": ""first respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/262.html"", ""role"": ""respondents"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/292.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/533.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1023.html"", ""role"": ""allergan defendant/respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1109.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1418.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1558.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/356.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/446.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/5.html"", ""role"": ""claimant/respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/507.html"", ""role"": ""first interested party"", ""outcome"": ""dismissed"", ""result"": ""Neutral""}]}"
addlestone keane solicitors,1,1,50.0,0,0,2,"addlestone keane solicitors, addlestone keene","{""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1864.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1687.html"", ""role"": ""respondents"", ""outcome"": ""granted"", ""result"": ""Loss""}]}"
ade tax,0,1,0.0,0,1,0,ade tax,"{""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/283.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
adie pepperdine ltd,1,1,50.0,0,1,1,"adie pepperdine ltd, adie pepperdine solicitors","{""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/8.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2022"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/49.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
advocacy,4,3,57.14,0,6,1,advocate,"{""2020"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/112.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1461.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1417.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1466.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1568.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/95.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}], ""2025"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/658.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
advocates for animals,0,1,0.0,0,1,0,advocates for animals,"{""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1560.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
aegis legal,1,0,100.0,0,1,0,aegis legal,"{""2022"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1037.html"", ""role"": ""appellant/claimant"", ""outcome"": ""granted"", ""result"": ""Win""}]}"
aeris employment law,1,0,100.0,0,0,1,aeris employment law,"{""2022"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1659.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
affinity law,1,0,100.0,0,0,1,affinity law,"{""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1726.html"", ""role"": ""claimant/respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
ahmed rahman carr llp,0,2,0.0,0,2,0,"ahmed rahman carr llp, ahmed rahman carr solicitors","{""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/551.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1893.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
ahz solicitors,1,0,100.0,0,1,0,ahz solicitors,"{""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1504.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}]}"
ai law,0,2,0.0,1,2,0,ai law,"{""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1363.html"", ""role"": ""third intervener"", ""outcome"": ""granted"", ""result"": ""Neutral""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1390.html"", ""role"": ""appellant/claimant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1493.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
aja solicitors,0,1,0.0,0,0,1,aja solicitors,"{""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1575.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}]}"
akin gump llp,4,1,80.0,0,4,1,akin gump llp,"{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1581.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1125.html"", ""role"": ""respondent/cross-appellant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1168.html"", ""role"": ""appellantsjonathan crow kc, james mcclelland kc, rebecca loveridge and alastair richardson"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/24.html"", ""role"": ""appellants"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2025"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/475.html"", ""role"": ""second respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
akl solicitors,0,1,0.0,0,1,0,akl solicitors,"{""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/184.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
al bawardi critchlow,0,1,0.0,0,1,0,al bawardi critchlow,"{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/56.html"", ""role"": ""applicant, mr gray"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
alan taylor & co,0,1,0.0,0,1,0,alan taylor & co,"{""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/567.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
alberto perez cedillo,0,1,0.0,0,1,0,alberto perez cedillo,"{""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1589.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
aliant law,1,0,100.0,0,0,1,aliant law,"{""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/973.html"", ""role"": ""2nd respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
alison castrey ltd,0,1,0.0,0,0,1,alison castrey ltd,"{""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/26.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}]}"
alius law,1,0,100.0,0,1,0,alius law,"{""2022"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1409.html"", ""role"": ""appellant/fourth defendant"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
allan rutherford solicitors,0,1,0.0,0,1,0,allan rutherford solicitors,"{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/954.html"", ""role"": ""applicant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
