Law_Firm,Wins,Losses,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Cases,Win_Rate
your lawyers,1,0,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/44.html']},100.0
dwf law llp,11,13,0,13,11,"{2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/869.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1400.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1716.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1541.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1374.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1135.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/234.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/229.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/66.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/17.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/927.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/616.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/729.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1412.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/138.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1453.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/175.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1110.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1461.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/158.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/297.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/765.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/755.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/13.html']}",45.83333333333333
wiltshire police legal services,0,1,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/13.html']},0.0
signature litigation llp,5,6,0,5,6,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/375.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1259.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/71.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/329.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/305.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/184.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/9.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/674.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/901.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/582.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/14.html']}",45.45454545454545
reed smith llp,10,14,0,9,15,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/611.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/661.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/317.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/743.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/445.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/658.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1742.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1901.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/2073.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/293.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/9.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1534.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1789.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1704.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1091.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/231.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1555.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/798.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/432.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/7.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/569.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/719.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/363.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/14.html']}",41.66666666666667
lewis nedas law,1,1,0,2,0,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/483.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/20.html']}",50.0
eversheds sutherland (international) llp,17,11,1,14,14,"{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1304.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/342.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1697.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1586.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2487.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/24.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/2080.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/964.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/485.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/869.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/112.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1645.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/9.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1726.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/795.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1858.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/474.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/551.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1557.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/29.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/826.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/825.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/541.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1282.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/843.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/265.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/20.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/127.html']}",60.71428571428571
freeths llp,4,5,0,6,3,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/62.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/844.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2744.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1341.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/476.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1354.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/178.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/254.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/53.html']}",44.44444444444444
morgan rose solicitors limited,1,0,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/53.html']},100.0
portner law,0,1,0,1,0,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/53.html']},0.0
edwards duthie shamash,0,6,1,1,5,"{2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/620.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/512.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1835.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/992.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1150.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/22.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/92.html']}",0.0
islington london borough council,1,0,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/22.html']},100.0
duncan lewis solicitors,8,28,0,29,7,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/870.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/831.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1050.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/415.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1035.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/2710.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1871.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/150.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/961.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/215.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/845.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/784.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1954.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/207.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1544.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1168.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/657.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/379.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1422.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1711.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1890.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/809.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/791.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1296.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1512.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/840.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1075.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/439.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/764.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/745.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/1546.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/314.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/11.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/21.html']}",22.22222222222222
welwyn hatfield borough council,0,1,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/21.html']},0.0
