link,representation,law_firms
https://www.bailii.org/ew/cases/EWCA/Civ/2025/293.html,"Howard Watkinson and Charlotte Brown (instructed by The General Counsel and Solicitor to HM Revenue and Customs) for the Appellants
Tim Brown and Stephen Morse (instructed by Jurit LLP) for the Respondent
Max Schofield (instructed by Dallas & Co Solicitors) for the Intervener (written submissions only)
Hearing date: 11 March 2025","[('The General Counsel and Solicitor to HM Revenue and Customs', 'Appellants'), ('Jurit LLP', 'Respondent'), ('Dallas & Co Solicitors', 'Intervener')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/193.html,"James Segan KC and Ligia Osepciu (instructed by Powell Gilbert LLP) for the Appellants
Thomas Raphael KC and Maxwell Keay (instructed by Gowling WLG (UK) LLP) for the First and Second Respondents
Brian Nicholson KC and Miruna Bercariu (instructed by Osborne Clarke LLP and EIP Europe LLP) for the Third Respondent
Hearing dates : 2-3 December 2024","[('Powell Gilbert LLP', 'Appellants'), ('Gowling WLG (UK) LLP', 'First and Second Respondents'), ('Osborne Clarke LLP and EIP Europe LLP', 'Third Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/485.html,"Ian Wise KC and Oliver Persey (instructed by Miles and Partners LLP) for the Appellant
David Lawson and Jake Rylatt (instructed by Hill Dickinson LLP) for the Respondent
Sally Bradley (instructed by Haringey Council Legal Services) for the Interested Party
Hearing date: 6 March 2025","[('Miles and Partners LLP', 'Appellant'), ('Hill Dickinson LLP', 'Respondent'), ('Haringey Council Legal Services', 'Interested Party')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/391.html,"Steven Reed (instructed by Pinder Reaux and Associates) for the Appellant
The Respondent appeared in person
Hearing date : 3 April 2025","[('Pinder Reaux and Associates', 'Appellant')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/399.html,"Hui Ling McCarthy KC (instructed by Enyo Law LLP) for the Appellant 
Peter Mantle (instructed by The General Counsel and Solicitor to HM Revenue and Customs) for the Respondents 
Hearing dates: 4 and 5 March 2025","[('Enyo Law LLP', 'Appellant'), ('The General Counsel and Solicitor to HM Revenue and Customs', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/497.html,"Paul Goulding KC and Celia Rooney (instructed by Russells) for the Appellant
David Reade KC (instructed by Marriott Harrison LLP) for the First Respondent
Adam Solomon KC (instructed by  Morgan, Lewis and Bockius UK LLP) for the Second Respondent
Hearing date: 06 March 2025","[('Russells', 'Appellant'), ('Marriott Harrison LLP', 'First Respondent'), ('Morgan, Lewis and Bockius UK LLP', 'Second Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/385.html,"Malcolm Gammie KC (instructed by Keystone Law) for the Appellant
David Yates KC and Calypso Blaj (instructed by HMRC Solicitor's Office and Legal Services) for the Respondents
Hearing dates: 19 and 20 March 2025","[('Keystone Law', 'Appellant'), (""HMRC Solicitor's Office and Legal Services"", 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/623.html,"Daniel Margolin KC and David Bedenham KC (instructed by Joseph Hage Aaronson LLP) for the Appellant
Howard Watkinson and Joshua Carey (instructed by HMRC Solicitor's Office and Legal Services) for the Respondents
Hearing date: 1 May 2025","[('Joseph Hage Aaronson LLP', 'Appellant'), (""HMRC Solicitor's Office and Legal Services"", 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/713.html,"Jackson Yamba (instructed by Lawrence and Associates) for the Appellant
 John Craggs (instructed by ELMS Legal Ltd) for the Respondent
Hearing date: 4 March 2025","[('Lawrence and Associates', 'Appellant'), ('ELMS Legal Ltd', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/733.html,"Roger Mallalieu KC (instructed by Horwich Farrelly and Keoghs LLP) for the Appellants
Benjamin Williams KC and Andrew Hogan for Direct Accident Management Ltd (instructed by Direct Accident Management Limited)
Benjamin Williams KC and Matthew Waszak for Spectra Drive Limited (instructed by Mansfield Solicitors and Advocates Limited) 
Hearing dates: 7th and 8th May 2025","[('Horwich Farrelly and Keoghs LLP', 'Appellants')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/16.html,"Julia Smyth and Katharine Elliot (instructed by HMRC Solicitor's Office and Legal Services) for the Appellants
Jamie Burton KC, Desmond Rutledge and Ollie Persey (instructed by Kirklees Citizens Advice and Law Centre) for the Respondent
Hearing date: 6 December 2023","[(""HMRC Solicitor's Office and Legal Services"", 'Appellants'), ('Kirklees Citizens Advice and Law Centre', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/12.html,"Richard Turney and Charles Bishop (instructed by Richard Buxton Solicitors, Cambridge) for the Appellant
 Mark Westmoreland Smith and Jonathan Welch (instructed by Government Legal Department) for the First Respondent
Hereward Phillpot KC and Hugh Flanagan (instructed by Shepherd and Wedderburn) for the Second and Third Respondents
Hearing date: 6 December 2023","[('Richard Buxton Solicitors, Cambridge', 'Appellant'), ('Government Legal Department', 'First Respondent'), ('Shepherd and Wedderburn', 'Second and Third Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/177.html,"Michael Firth for the Appellant
Howard Watkinson (instructed by HMRC Solicitor's Office and Legal Services) for the Respondents
Hearing dates: 6 and 7 February 2024","[(""HMRC Solicitor's Office and Legal Services"", 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/98.html,"Andrew Spink KC and Philip Stear (instructed by Baker & McKenzie LLP) for the Appellants
Brian Green KC and Edward Sawyer (instructed by Slaughter and May) for the Respondent
Hearing dates: 12  14 December 2023","[('Baker & McKenzie LLP', 'Appellants'), ('Slaughter and May', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/169.html,"Robert Deacon (instructed by Britton and Time Solicitors) for the Appellant
Graeme Wood (instructed by direct access) for the Respondents
Hearing date: 1 February 2024","[('Britton and Time Solicitors', 'Appellant'), ('direct access', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/170.html,"Nicholas Isaac KC and Richard Miller (instructed by Cripps LLP) 
for the Appellant in each appeal
Howard Smith (instructed by Child and Child Law Ltd) for the Respondents in each appeal 
Hearing date: 28 November 2023","[('Cripps LLP', 'Appellant in each appeal'), ('Child and Child Law Ltd', 'Respondents in each appeal')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/300.html,"Zizhen Yang (instructed by Baker McKenzie LLP) for the Appellant
Peter Mantle (instructed by The General Counsel and Solicitor to HM Revenue and Customs) for the Respondents
Hearing dates: 23 and 24 January 2024","[('Baker McKenzie LLP', 'Appellant'), ('The General Counsel and Solicitor to HM Revenue and Customs', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/277.html,"Tim Buley KC (instructed by Leigh Day) for the Appellant
Mark Westmoreland Smith KC and Jonathan Welch (instructed by Government Legal Department) for the Respondent
Hereward Phillpot KC and Hugh Flanagan (instructed by Shepherd and Wedderburn LLP) for the Interested Parties
Hearing dates: 14 and 15 February 2024","[('Leigh Day', 'Appellant'), ('Government Legal Department', 'Respondent'), ('Shepherd and Wedderburn LLP', 'Interested Parties')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/330.html,"Kevin Prosser KC and David Yates KC (instructed by Simmons and Simmons LLP) for the Appellant
David Ewart KC and Sadiya Choudhury KC (instructed by HMRC Solicitors Office and Legal Service) for the Respondents
Hearing dates: 5 and 6 March 2024","[('Simmons and Simmons LLP', 'Appellant'), ('HMRC Solicitors Office and Legal Service', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/365.html,"Patrick Way KC and Dilpreet Dhanoa (instructed by Sharpe Pritchard LLP) for the Appellant
Richard Vallat KC and Calypso Blaj (instructed by HMRC Solicitor's Office and Legal Services) for the Respondents
Hearing date: 12 March 2024","[('Sharpe Pritchard LLP', 'Appellant'), (""HMRC Solicitor's Office and Legal Services"", 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/486.html,"Michael Firth KC (direct access) for the Appellants
Philip Simpson KC (instructed by HMRC Solicitor's Office and Legal Services) for the Respondents
Hearing dates: 24 and 25 April 2024","[(""HMRC Solicitor's Office and Legal Services"", 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/530.html,"Tim Johnston (instructed by DAC Beachcroft LLP) for the Appellant
Adam Heppinstall KC and Freya Foster (instructed by Dentons UK and Middle East LLP) for the Respondent
Tom Leary (instructed by The Treasury Solicitor) for the Interested Party
Hearing date: 18 April 2024","[('DAC Beachcroft LLP', 'Appellant'), ('Dentons UK and Middle East LLP', 'Respondent'), ('The Treasury Solicitor', 'Interested Party')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/540.html,"Galina Ward KC and Siân McGibbon (instructed by Hodge Jones and Allen) for the Appellant
Joshua Swirsky (instructed by Ealing Legal and Democratic Services) for the Respondent
Hearing date: 1 May 2024","[('Hodge Jones and Allen', 'Appellant'), ('Ealing Legal and Democratic Services', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/434.html,"Julian Ghosh KC, Quinlan Windle and Laura Ruxandu (instructed by Baker & McKenzie LLP) for the Appellants
Elizabeth Wilson KC and Ronan Magee (instructed by HMRC Solicitor's Office and Legal Services) for the Respondents
Hearing dates: 17 and 18 April 2024","[('Baker & McKenzie LLP', 'Appellants'), (""HMRC Solicitor's Office and Legal Services"", 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/562.html,"Iain Purvis KC, Miles Copeland and Alice Hart (instructed by A & O Shearman) for the Appellants
Adrian Speck KC, Henry Ward and Adam Gamsa (instructed by Pinsent Masons LLP, Bristows LLP, HGF Law LLP and Taylor Wessing LLP) for the Respondents other than CIPLA Ltd and another
CIPLA Ltd and another were not represented
Hearing date : 16 May 2024","[('A & O Shearman', 'Appellants'), ('Pinsent Masons LLP, Bristows LLP, HGF Law LLP and Taylor Wessing LLP', 'Respondents other than CIPLA Ltd and another')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/676.html,"Karon Monaghan KC and Jack Feeny (instructed by Pennington Manches Cooper LLP) for the Appellants
Peter Lockley (instructed by East Midlands Police Legal Services and Joint Legal Services for Staffordshire Police and West Midlands Police) for the First and Second Respondents
Adam Tolley KC and Elizabeth Hodgetts (instructed by the Government Legal Department) for the Third Respondent

Hearing dates: 22 and 23 May 2024","[('Pennington Manches Cooper LLP', 'Appellants'), ('East Midlands Police Legal Services and Joint Legal Services for Staffordshire Police and West Midlands Police', 'First and Second Respondents'), ('the Government Legal Department', 'Third Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/720.html,"David Milne KC, Jonathan Davey KC and Barbara Belgrano (instructed by The General Counsel and Solicitor for HMRC) for the Appellants
Jonathan Peacock KC and Edward Hellier (instructed by KPMG LLP) for the Respondents
Hearing dates : 14 & 15 May 2024","[('The General Counsel and Solicitor for HMRC', 'Appellants'), ('KPMG LLP', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/652.html,"Nicola Shaw KC and Harry Winter (instructed by DLA Piper) for the Appellant
Elizabeth Wilson KC and Rebecca Sheldon (instructed by The General Counsel and Solicitor to HM Revenue and Customs) for the Respondents
Hearing dates: 15 and 16 May 2024","[('DLA Piper', 'Appellant'), ('The General Counsel and Solicitor to HM Revenue and Customs', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/641.html,"Mr David Railton KC, Mr Ben Valentin KC, Ms Tamara Oppenheimer KC, Mr Samuel Ritchie and Ms Francesca Ruddy (instructed by Sullivan and Cromwell UK LLP) for the Appellant
Ms Susan Prevezer KC, Mr Alex Barden and Mr James Shaerf (instructed by Quinn Emanuel Urquhart & Sullivan UK LLP) for the Respondents
The Second Defendant did not appear and was not represented
Hearing dates : 21  23 May 2024","[('Sullivan and Cromwell UK LLP', 'Appellant'), ('Quinn Emanuel Urquhart & Sullivan UK LLP', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/622.html,"Daniel Toledano KC and Joshua Crow (instructed by Slaughter and May) 
for the Claimants/Respondents (""Virgin"")
Tom Weisselberg KC and Edward Ho (instructed by Jones Day) for the 
Defendant/Appellant (""Alaska"")
Hearing date: 6 March 2024","[('Slaughter and May', 'Claimants/Respondents'), ('Jones Day', '')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/767.html,"Michael Tennet KC and Edward Sawyer (instructed by Linklaters LLP)
for the Appellant     
      Brian Green KC and Joseph Steadman (instructed by Slaughter and May Solicitors) for the First Respondent
Andrew Spink KC and Saul Margo (instructed by Stephenson Harwood LLP)
for the Second Respondent   
Hearing dates: 25, 26 & 27/06/2024","[('Linklaters LLP', 'Appellant'), ('Slaughter and May Solicitors', 'First Respondent'), ('Stephenson Harwood LLP', 'Second Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/797.html,"Hui Ling McCarthy KC and Barbara Belgrano (instructed by HMRC Solicitor's Office and Legal Services) for the Appellants
Philip Baker KC and John Brinsmead-Stockham KC (instructed by Slaughter and May) for the Respondent
Hearing dates: 2 and 3 July 2024","[(""HMRC Solicitor's Office and Legal Services"", 'Appellants'), ('Slaughter and May', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/802.html,"Philip Kolvin KC and Jen Coyne (instructed by Aaron and Partners LLP)
for the First Appellant
Gerald Gouriet KC and Michael Feeney (instructed by Capital Law Limited)
for the Second Appellant
Ranjit Bhose KC and Josef Cannon KC (instructed by Hogan Lovells International LLP)
for the Respondent

Hearing dates : 09/07/2024","[('Aaron and Partners LLP', 'First Appellant'), ('Capital Law Limited', 'Second Appellant'), ('Hogan Lovells International LLP', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/995.html,"Matthew Parfitt (instructed by The General Counsel and Solicitor to HM Revenue and Customs) for the Appellants
Timothy Harry and Ben Elliott (instructed by Noble Solicitors) for the Respondent
Hearing date: 23 July 2024","[('The General Counsel and Solicitor to HM Revenue and Customs', 'Appellants'), ('Noble Solicitors', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/1023.html,"Jon Turner KC, Tristan Jones KC, David Bailey and Daisy Mackersie (instructed by the Legal Department of the Competition and Markets Authority) for the Appellants (the CMA)
Daniel Jowell KC and Tim Johnston (instructed by Addleshaw Goddard LLP) for the Allergan Defendant/Respondent (Allergan - A1)
Mark Brealey KC (instructed by Morgan Lewis & Bockius LLP) for the Advanz Defendant/Respondent Group (Advanz  A2 to A5)
Robert O'Donoghue KC, Max Schaefer and Emma Mockford (instructed by Clifford Chance LLP) for the Cinven Defendant/Respondent Group (Cinven - A6 to A8)
Sarah Ford KC and Charlotte Thomas (instructed by Macfarlanes LLP) for the Auden Actavis Defendant/Respondent Group (Auden - A9 to A10)
Hearing dates: 10-12 and 16-17 July 2024","[('the Legal Department of the Competition and Markets Authority', 'Appellants'), ('Addleshaw Goddard LLP', 'Allergan Defendant/Respondent'), ('Morgan Lewis & Bockius LLP', 'Advanz Defendant/Respondent Group'), ('Clifford Chance LLP', 'Cinven Defendant/Respondent Group'), ('Macfarlanes LLP', 'Auden Actavis Defendant/Respondent Group')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/1100.html,"Michael Bloch KC and Kathryn Pickard (instructed by Kirkland & Ellis International LLP) for the Appellants
Michael Tappin KC, Josephine Davies KC and Fiona Petersen (instructed by Taylor Wessing LLP and Pinsent Masons LLP) for the Respondents

Hearing date : 11 September 2024","[('Kirkland & Ellis International LLP', 'Appellants'), ('Taylor Wessing LLP and Pinsent Masons LLP', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/1110.html,"Aidan Christie KC and Rani Noakes (instructed by DWF Law LLP) for the Appellant
Alistair Schaff KC and Simon Kerr (instructed by Slaughter and May) for the Respondent

Hearing dates : 18 July 2024","[('DWF Law LLP', 'Appellant'), ('Slaughter and May', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/1388.html,"Tom Morris (instructed by Crane and Walton LLP) for the Appellants
Jonathan Gale (instructed by Gateley plc) for the Respondent

Hearing date: 23 October 2024","[('Crane and Walton LLP', 'Appellants'), ('Gateley plc', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/1412.html,"Jonathan Peacock KC, Sam Grodzinski KC and Laura Ruxandu (instructed by Baker & McKenzie LLP) for the Appellants
John Brinsmead-Stockham KC, Marika Lemos and Alice Defriend (instructed by The General Counsel and Solicitor for HMRC) for the Respondents
Hearing date: 15 October 2024","[('Baker & McKenzie LLP', 'Appellants'), ('The General Counsel and Solicitor for HMRC', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/1550.html,"Diya Sen Gupta KC and Zafar Ansari (instructed by Allen Overy Shearman Sterling LLP) for the Appellant
 Oliver Segal KC and Elaine Banton (instructed by Kilgannon and Partners LLP) for the Respondent
Hearing date: 10 October 2024","[('Allen Overy Shearman Sterling LLP', 'Appellant'), ('Kilgannon and Partners LLP', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/1554.html,"Michael Fry  (instructed by Government Legal Dept) for the Appellant
Michael Rudd (instructed by Tedstone, George and Tedstone) for the Respondent
Hearing Date: 19 November 2024","[('Government Legal Dept', 'Appellant'), ('Tedstone, George and Tedstone', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2024/1559.html,"Philip Moser KC, Philip Woolfe KC, and Oliver Jackson (instructed by Stephenson Harwood LLP and Scott+Scott UK LLP) appeared on behalf of the Claimants (the claimants)
Simon Salzedo KC and Tim Johnston (instructed by Linklaters LLP and Milbank LLP) appeared on behalf of the Visa Defendants
Timothy Otty KC and Naina Patel (instructed by Jones Day) appeared on behalf of the Mastercard Defendants (the Mastercard Defendants and the Visa Defendants are together referred to as the ""defendants"")        
Hearing dates: 3 and 4 December 2024","[('Stephenson Harwood LLP and Scott+Scott UK LLP', 'Claimants'), ('Linklaters LLP and Milbank LLP', 'Visa Defendants'), ('Jones Day', 'Mastercard Defendants')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/36.html,"Sebastian Kokelaar and Stephen Ryan (instructed by Richard Slade and Company) for the Appellant, Phoenix Group Foundation
Daniel Saoul KC and Richard Hoyle  (instructed by Harcus Parker Limited) for the Respondents (the ""Settlement Parties"" as defined below), including Harbour Fund II LP 
Hearing dates: 5-6 October 2022
Additional written submissions made on 21 December 2022","[('Richard Slade and Company', 'Appellant, Phoenix Group Foundation'), ('Harcus Parker Limited', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/167.html,"Ben Shaw and Chantelle Staynings (instructed by Dentons UK and Middle East LLP) for the Appellant
The First Defendant did not appear and was not represented   
Alexander Cook and Daniel Kessler (instructed by Cripps LLP) for the Second and Third Respondents
Hearing dates: 13  15 December 2022","[('Dentons UK and Middle East LLP', 'Appellant'), ('Cripps LLP', 'Second and Third Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/114.html,"Rupert Baldry KC (instructed by Greenwoods Legal LLP) for the Appellant
Aparna Nathan KC (instructed by HM Revenue and Customs) for the Respondents    
Hearing dates: 19 and 20 October 2022","[('Greenwoods Legal LLP', 'Appellant'), ('HM Revenue and Customs', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/106.html,"Edward Hellier (instructed by Direct Access, Greenspace (UK) Ltd) for the Appellant
Joanna Vicary (instructed by HM Revenue and Customs) for the Respondents
Hearing date: 19 January 2023","[('Direct Access, Greenspace (UK) Ltd', 'Appellant'), ('HM Revenue and Customs', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/141.html,"Lesley Anderson KC (instructed by Brabners LLP) for the Appellants
John McDonnell KC (instructed by Richard Slade and Company Limited) for the Respondent
Hearing dates: 25 & 26 January 2023","[('Brabners LLP', 'Appellants'), ('Richard Slade and Company Limited', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/278.html,"Hugh Southey KC (instructed by Murdochs Solicitors) for the Appellant
Helen Evans KC (instructed by the Bar Standards Board) for the Respondent
Lord Hendy KC (instructed by Clyde and Co) for the Interested Party
Hearing date: 7 February 2022","[('Murdochs Solicitors', 'Appellant'), ('the Bar Standards Board', 'Respondent'), ('Clyde and Co', 'Interested Party')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/332.html,"Michael Firth (instructed by Morrisons Solicitors LLP) for the Appellant
Kieron Beal KC and Natasha Barnes (instructed by HMRC Solicitor's Office and Legal Services) for the Respondents
Hearing date: 8 March 2023","[('Morrisons Solicitors LLP', 'Appellant'), (""HMRC Solicitor's Office and Legal Services"", 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/263.html,"Julian Hickey and Rebecca Sheldon (instructed by Levy and Levy Solicitors) for the Appellant
Elizabeth Wilson KC and Admas Habteslasie (instructed by the Solicitor and General Counsel to the Commissioners for HMRC) for the Respondents
Hearing date: 1 March 2023","[('Levy and Levy Solicitors', 'Appellant'), ('the Solicitor and General Counsel to the Commissioners for HMRC', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/238.html,"Philip Havers KC and Lucy McCann (instructed by Keystone Law) for the Appellant
Daniel Stilitz KC and Stephanie David (instructed by Litigation, Prosecutions and Inquests Team, Care Quality Commission) for the Respondent
Hearing date : 16 February 2023","[('Keystone Law', 'Appellant'), ('Litigation, Prosecutions and Inquests Team, Care Quality Commission', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/261.html,"Barrie Akin (instructed by Hill Dickinson LLP) for the Appellant (Mr Bell)
Julian Hickey and Rebecca Sheldon (instructed by Levy & Levy Solicitors) for the Respondent (Mr Mitchell) 
 James Puzey, Jenny Goldring and Aparna Rao (instructed by Solicitor to HM Revenue and Customs) for the Respondents (HMRC)
Hearing date: 25 January 2023","[('Hill Dickinson LLP', 'Appellant'), ('Levy & Levy Solicitors', 'Respondent'), ('Solicitor to HM Revenue and Customs', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/209.html,"David Hirst (instructed via Direct Access) for the Appellant
Robert Talalay (instructed by the Legal Services Directorate, Avon and Somerset Constabulary) for the Respondent
Hearing date: 10 November 2022","[('the Legal Services Directorate, Avon and Somerset Constabulary', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/451.html,"James Segan KC, Luka Krsljanin (instructed by Kirkland and Ellis International LLP) for the Appellant
Nicholas Saunders KC, Gideon Shirazi (instructed by Bird & Bird LLP) for the Respondent
Hearing dates: 29 March 2023","[('Kirkland and Ellis International LLP', 'Appellant'), ('Bird & Bird LLP', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2023/373.html,"Paul Nicholls KC and Andrew Edge (instructed by Hogan Lovells International LLP) for the Appellant (Defendant)
Judy Stone, Rupert Paines and Raphael Hogarth (instructed by Kirkland and Ellis International LLP) for the Respondents (Claimants)
Hearing date: 15 March 2023","[('Hogan Lovells International LLP', 'Appellant'), ('Kirkland and Ellis International LLP', 'Respondents')]"
